ID,Type,REF,Name,Parent,SKU
28175,variation,CE_D2633,Pyohex Medicated Conditioner - 200ml,C_PMC,D2633
28174,variation,CE_D2634,Pyohex Medicated Conditioner - 100ml,C_PMC,D2634
29755,variation,CE_D2660,Dermcare Natural Dog Shampoo - 250ml,C_DNDS,D2660
29758,variation,CE_D2700,Dermcare Natural Dog Shampoo - 5 Litre,C_DNDS,D2700
29754,variation,CE_D2770,Permoxin Insecticidal Spray for Horses and Dogs - 1 Litre,C_PMX,D2770
28539,variation,CE_D3510,Divetelact Low Lactose Pet Milk Replacer Powder - 5kg,C_DIVMR,D3510
28538,variation,CE_D4000,Divetelact Low Lactose Pet Milk Replacer Powder - 375g,C_DIVMR,D4000
28540,variation,CE_D4001,Divetelact Low Lactose Pet Milk Replacer Powder - 900g,C_DIVMR,D4001
29351,variation,CE_D4100,Direa Tablets 1000mg - 50 Pack,C_MVLDR,D4100
29350,variation,CE_D4110,Direa Tablets 1000mg - 10 Pack,C_MVLDR,D4110
29953,variation,CE_D5652,Drontal Allwormer Chewables for Dogs 10kg - 2 Pack,C_DR10,D5652
29954,variation,CE_D5653,Drontal Allwormer Chewables for Dogs 10kg - 5 Pack,C_DR10,D5653
29955,variation,CE_D5654,Drontal Allwormer Chewables for Dogs 10kg - 20 Pack,C_DR10,D5654
29950,variation,CE_D5655,Drontal Allwormer Chewable XL for Large Dogs 35kg - 2 Pack,C_DRXL35,D5655
29951,variation,CE_D5656,Drontal Allwormer Chewable XL for Large Dogs 35kg - 20 Pack,C_DRXL35,D5656
28443,variation,CE_D5665,Drysoft Absorbent Wee Wee Puppy Pee Training Pads - Small 30 Pack (40 x 60cm),C_DWWPTP,D5665
28442,variation,CE_D5666,Drysoft Absorbent Wee Wee Puppy Pee Training Pads - Medium 30 Pack (60 x 60cm),C_DWWPTP,D5666
28441,variation,CE_D5667,Drysoft Absorbent Wee Wee Puppy Pee Training Pads - Large 25 Pack (60 x 90cm),C_DWWPTP,D5667
28444,variation,CE_D5668,Drysoft Absorbent Wee Wee Puppy Pee Training Pads - Ultra Large 25 Pack (60 x 90cm),C_DWWPTP,D5668
29760,variation,CE_D6600,Dog Rocks Urine Lawn Burn Prevention - 200g x 12,C_DGRCKS,D6600
29759,variation,CE_D6601,Dog Rocks Urine Lawn Burn Prevention - 200g,C_DGRCKS,D6601
29762,variation,CE_D6610,Dog Rocks Urine Lawn Burn Prevention - 600g x 12,C_DGRCKS,D6610
29761,variation,CE_D6611,Dog Rocks Urine Lawn Burn Prevention - 600g,C_DGRCKS,D6611
29960,variation,CE_D8460,Drontal Worming Tablets for Puppies and Small Dogs 3kg - 4 Pack,C_DRSM3,D8460
29961,variation,CE_D8470,Drontal Worming Tablets for Puppies and Small Dogs 3kg - 50 Pack,C_DRSM3,D8470
29959,variation,CE_D8500,Drontal Dog Worming Tablets 10kg - 100 Pack,C_DRTB10,D8500
29956,variation,CE_D8520,Drontal Allwormer Chewables for Dogs 10kg - 80 Pack,C_DR10,D8520
29958,variation,CE_D8530,Drontal Dog Worming Tablets 10kg - 5 Pack,C_DRTB10,D8530
29952,variation,CE_D8540,Drontal Allwormer Chewable XL for Large Dogs 35kg - 50 Pack,C_DRXL35,D8540
29704,variation,CE_DG121,"Dogue Stud Muffin Dog Collars - Black, 35cm",C_DGUESMC,DG121
